KEY;FR;EN;ES;PT;IT;
finance.box.total_expenses;Total Dépenses;Total Expenses;Total gastos;Total de despesas;Spese totali;
finance.box.format;{TITLE} : {AMOUNT};{TITLE}: {AMOUNT};{TITLE}: {AMOUNT};{TITLE}: {AMOUNT};{TITLE}: {AMOUNT};
finance.tile.cafeteria_total;Total Cafétéria : {AMOUNT};Cafeteria total: {AMOUNT};Total cafetería: {AMOUNT};Total cafetaria: {AMOUNT};Totale caffetteria: {AMOUNT};
finance.tile.season_prize;Prix Officiel Saison : {AMOUNT};Official season prize: {AMOUNT};Premio oficial de la temporada: {AMOUNT};Prémio oficial da temporada: {AMOUNT};Premio ufficiale stagione: {AMOUNT};
finance.detail.sponsors;Détail Sponsors : {AMOUNT};Sponsors detail: {AMOUNT};Detalle patrocinadores: {AMOUNT};Detalhe patrocinadores: {AMOUNT};Dettaglio sponsor: {AMOUNT};
finance.detail.sponsor_bonus;Sponsor : +{AMOUNT};Sponsor: +{AMOUNT};Patrocinador: +{AMOUNT};Patrocinador: +{AMOUNT};Sponsor: +{AMOUNT};
finance.detail.ticket_last_match;Billetterie dernier match : {AMOUNT};Ticketing last match: {AMOUNT};Taquilla último partido: {AMOUNT};Bilheteira último jogo: {AMOUNT};Biglietteria ultima partita: {AMOUNT};
finance.detail.ticket_total;Total Billetterie : {AMOUNT};Total ticketing: {AMOUNT};Total taquilla: {AMOUNT};Total bilheteira: {AMOUNT};Totale biglietteria: {AMOUNT};
finance.detail.shop_last_match;Boutique dernier match : {AMOUNT};Shop last match: {AMOUNT};Tienda último partido: {AMOUNT};Loja último jogo: {AMOUNT};Negozio ultima partita: {AMOUNT};
finance.detail.shop_total;Total Boutique : {AMOUNT};Total shop: {AMOUNT};Total tienda: {AMOUNT};Total loja: {AMOUNT};Totale negozio: {AMOUNT};
finance.detail.stadium_extra_cost;Coûts extra stade : {AMOUNT};Extra stadium costs: {AMOUNT};Costes extra del estadio: {AMOUNT};Custos extra do estádio: {AMOUNT};Costi extra stadio: {AMOUNT};
finance.detail.salaries;Salaires : {AMOUNT};Salaries: {AMOUNT};Salarios: {AMOUNT};Salários: {AMOUNT};Stipendi: {AMOUNT};
finance.budget.current;Budget actuel : {AMOUNT};Current budget: {AMOUNT};Presupuesto actual: {AMOUNT};Orçamento atual: {AMOUNT};Budget attuale: {AMOUNT};
finance.season_balance.label;Solde Saison {N} : {AMOUNT};Season {N} balance: {AMOUNT};Saldo temporada {N}: {AMOUNT};Saldo temporada {N}: {AMOUNT};Saldo stagione {N}: {AMOUNT};
finance.detail.coach_salary;Salaire Coach : {AMOUNT};Coach salary: {AMOUNT};Salario del entrenador: {AMOUNT};Salário do treinador: {AMOUNT};Stipendio allenatore: {AMOUNT};
finance.detail.stadium_evolution;Évolution stade/parking : {AMOUNT};Stadium/parking upgrade: {AMOUNT};Mejora estadio/aparcamiento: {AMOUNT};Evolução estádio/estacionamento: {AMOUNT};Potenziamento stadio/parcheggio: {AMOUNT};
finance.detail.stadium_maintenance;Entretien stade : {AMOUNT};Stadium maintenance: {AMOUNT};Mantenimiento del estadio: {AMOUNT};Manutenção do estádio: {AMOUNT};Manutenzione stadio: {AMOUNT};
finance.expense.tournament_registrations;Inscriptions tournois : {AMOUNT};Tournament registrations: {AMOUNT};Inscripciones torneos: {AMOUNT};Inscrições torneios: {AMOUNT};Iscrizioni tornei: {AMOUNT};
finance.title.center;Centre Financier;Finance Center;Centro financiero;Centro financeiro;Centro finanziario;
common.button.back;Retour;Back;Volver;Voltar;Indietro;
sponsors.title.offers;Offres de Sponsors;Sponsor Offers;Ofertas de patrocinio;Ofertas de Patrocínio;Offerte di Sponsorizzazione;
sponsors.status.active;Sponsor actif : {NAME} ({REMAIN} saison(s) restante(s));Active sponsor: {NAME} ({REMAIN} season(s) remaining);Patrocinador activo: {NAME} ({REMAIN} temporada(s) restante(s));Patrocinador ativo: {NAME} ({REMAIN} temporada(s) restante(s));Sponsor attivo: {NAME} ({REMAIN} stagione/i rimanente/i);
sponsors.card.duration;{DUR} an(s);{DUR} year(s);{DUR} año(s);{DUR} ano(s);{DUR} anno/i;
common.per_season_suffix;/saison;/season;/temporada;/temporada;/stagione;
sponsors.card.bonus;Bonus : {BONUS};Bonus: {BONUS};Bono: {BONUS};Bónus: {BONUS};Bonus: {BONUS};
sponsors.bonus.final_and_champ;"Si en Finale -> +{BF}k€ ; Si Champion -> +{BC}k€";"If finalist -> +{BF}k€ ; If champion -> +{BC}k€";"Si llega a la final -> +{BF}k€ ; Si campeón -> +{BC}k€";"Se chegar à final -> +{BF}k€ ; Se campeão -> +{BC}k€";"Se in finale -> +{BF}k€ ; Se campione -> +{BC}k€";
sponsors.bonus.final_only;Si en Finale -> +{BF}k€;If finalist -> +{BF}k€;Si llega a la final -> +{BF}k€;Se chegar à final -> +{BF}k€;Se in finale -> +{BF}k€;
sponsors.bonus.champ_only;Si Champion -> +{BC}k€;If champion -> +{BC}k€;Si campeón -> +{BC}k€;Se campeão -> +{BC}k€;Se campione -> +{BC}k€;
common.none;Aucun;None;Ninguno;Nenhum;Nessuno;
sponsors.button.active_contract;Contrat actif;Active contract;Contrato activo;Contrato ativo;Contratto attivo;
common.button.back;Retour;Back;Volver;Voltar;Indietro;
common.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
sponsors.button.active_contract;Contrat actif;Active contract;Contrato activo;Contrato ativo;Contratto attivo;
popup.tuto.bienvenue.title;Bienvenue au club !;Welcome to the club!;¡Bienvenido al club!;Bem-vindo ao clube!;Benvenuto nel club!;
popup.tuto.bienvenue.l1;Tu viens de prendre les commandes de l'équipe.;You’ve just taken charge of the team.;Acabas de tomar las riendas del equipo.;Você acaba de assumir o comando da equipe.;Hai appena preso in mano la squadra.;
popup.tuto.bienvenue.l2;Ton objectif : faire progresser le club sur plusieurs saisons;Your goal: grow the club over several seasons;Tu objetivo: hacer progresar el club durante varias temporadas;Seu objetivo: fazer o clube evoluir ao longo de várias temporadas;Il tuo obiettivo: far crescere il club per diverse stagioni;
popup.tuto.bienvenue.l3;en gérant résultats sportifs, finances et infrastructures.;by managing results, finances and facilities.;gestionando resultados deportivos, finanzas e infraestructuras.;gerindo resultados, finanças e infraestrutura.;gestendo risultati, finanze e infrastrutture.;
popup.tuto.bienvenue.l4;Bonne chance !;Good luck!;¡Buena suerte!;Boa sorte!;Buona fortuna!;
popup.tuto.gestion.title;Centre de Gestion;Management Center;Centro de Gestión;Centro de Gestão;Centro di Gestione;
popup.tuto.gestion.l1;Gère le sportif, les finances, le staff et les infrastructures.;Manage sports, finances, staff and facilities.;Gestiona lo deportivo, las finanzas, el personal y las infraestructuras.;Gerencie o esportivo, as finanças, a equipe e as infraestruturas.;Gestisci sport, finanze, staff e infrastrutture.;
popup.tuto.gestion.l2;Dans « Messages », tu trouveras des alertes;In “Messages”, you’ll find alerts;En « Mensajes », encontrarás alertas;Em « Mensagens », você encontrará alertas;In « Messaggi » troverai avvisi;
popup.tuto.gestion.l3;pour piloter ton équipe au quotidien.;to steer your team day to day.;para dirigir tu equipo día a día.;para conduzir sua equipe no dia a dia.;per gestire la tua squadra ogni giorno.;
popup.tuto.gestion.l4;Reviens régulièrement pour gérer ton Club le mieux possible.;Come back often to manage your club as well as possible.;Vuelve a menudo para gestionar tu club lo mejor posible.;Volte com frequência para gerenciar seu clube da melhor forma.;Torna spesso per gestire al meglio il tuo club.;
popup.tuto.saison.title;Menu Saison;Season Menu;Menú de Temporada;Menu da Temporada;Menu Stagione;
popup.tuto.saison.l1;Suis et lance les matchs officiels : matchs de saison et tournois.;Track and launch official games: season games and tournaments.;Sigue y lanza los partidos oficiales: liga y torneos.;Acompanhe e inicie os jogos oficiais: temporada e torneios.;Segui e avvia le partite ufficiali: stagione e tornei.;
popup.tuto.saison.l2;Prépare à l'avance ton équipe (la compo) et ton Stade (billetterie, boutique...);Prepare your team (lineup) and your Stadium (tickets, shop...) in advance.;Prepara con antelación tu equipo (alineación) y tu estadio (entradas, tienda...).;Prepare com antecedência sua equipe (escalação) e seu Estádio (bilheteria, loja...).;Prepara in anticipo la squadra (formazione) e lo Stadio (biglietti, negozio...).;
popup.tuto.saison.l3;Lance le match de saison manuellement à partir de 60 min avant le coup d'envoi.;Start the season match manually from 60 minutes before tip-off.;Inicia el partido de liga manualmente desde 60 min antes del inicio.;Inicie a partida da temporada manualmente a partir de 60 min antes do início.;Avvia la partita di stagione manualmente da 60 min prima della palla a due.;
popup.tuto.saison.l4;À l'heure H, le match se jouera automatiquement avec les conditions que tu;At game time, the match will play automatically with the settings you;A la hora H, el partido se jugará automáticamente con las condiciones que;Na hora H, a partida será jogada automaticamente com as condições que você;All'ora H, la partita si giocherà automaticamente con le condizioni che;
popup.tuto.saison.l5;auras préparé en amont. Reste attentif au prochain match !;prepared beforehand. Keep an eye on the next game!;hayas preparado antes. ¡Mantente atento al próximo partido!;preparou antes. Fique atento ao próximo jogo!;hai preparato prima. Tieni d’occhio la prossima partita!;
popup.tuto.lv4_rename.title;Lv4+ : renom des joueurs débloqué !;Lv4+: Player renaming unlocked!;Lv4+: ¡Renombrar jugadores desbloqueado!;Lv4+: Renomear jogadores desbloqueado!;Lv4+: Rinomina giocatori sbloccata!;
popup.tuto.lv4_rename.l1;À partir du niveau 4, tu peux personnaliser le prénom de tes joueurs.;From level 4, you can customize your players’ first names.;A partir del nivel 4, puedes personalizar el nombre de tus jugadores.;A partir do nível 4, você pode personalizar o nome dos seus jogadores.;Dal livello 4, puoi personalizzare il nome dei tuoi giocatori.;
popup.tuto.lv4_rename.l2;Dans l'écran Fiches joueurs (Equipe), clic sur le prénom en orange, remplace le;In the Player Cards screen (Team), click the orange first name and replace it;En la pantalla Fichas de jugadores (Equipo), haz clic en el nombre naranja y cámbialo;Na tela Fichas dos jogadores (Equipe), clique no nome em laranja e substitua-o;Nella schermata Schede giocatori (Squadra), clicca sul nome arancione e sostituiscilo;
popup.tuto.lv4_rename.l3;prénom puis valide avec Intro.;then confirm with Enter.;y confirma con Intro.;e confirme com Enter.;poi conferma con Invio.;
popup.tuto.lv4_rename.l4;Amuse-toi à construire ton propre roster !;Have fun building your own roster!;¡Diviértete construyendo tu propio roster!;Divirta-se montando seu próprio elenco!;Divertiti a costruire il tuo roster!;
common.button.back;Retour;Back;Atrás;Voltar;Indietro;
popup.tuto.bienvenue.title;Bienvenue au club !;Welcome to the club!;¡Bienvenido al club!;Bem-vindo ao clube!;Benvenuto nel club!;
popup.tuto.bienvenue.l1;Tu viens de prendre les commandes de l'équipe.;You’ve just taken charge of the team.;Acabas de tomar las riendas del equipo.;Acabas de assumir o comando da equipa.;Hai appena preso il comando della squadra.;
popup.tuto.bienvenue.l2;Ton objectif : faire progresser le club sur plusieurs saisons.;Your goal: grow the club over multiple seasons.;Tu objetivo: hacer progresar el club durante varias temporadas.;O teu objetivo: fazer o clube evoluir ao longo de várias épocas.;Il tuo obiettivo: far crescere il club in più stagioni.;
popup.tuto.bienvenue.l3;en gérant résultats sportifs, finances et infrastructures.;by managing results, finances and facilities.;gestionando resultados deportivos, finanzas e infraestructuras.;gerindo resultados, finanças e infraestruturas.;gestendo risultati, finanze e infrastrutture.;
popup.tuto.bienvenue.l4;Bonne chance !;Good luck!;¡Buena suerte!;Boa sorte!;Buona fortuna!;
popup.tuto.gestion.title;Centre de Gestion;Management Center;Centro de Gestión;Centro de Gestão;Centro di Gestione;
popup.tuto.gestion.l1;Gère le sportif, les finances, le staff et les infrastructures.;Manage sports, finances, staff and facilities.;Gestiona lo deportivo, las finanzas, el personal y las infraestructuras.;Gere o desporto, as finanças, o staff e as infraestruturas.;Gestisci sport, finanze, staff e infrastrutture.;
popup.tuto.gestion.l2;Dans « Messages », tu trouveras des alertes.;In “Messages”, you’ll find alerts.;En « Mensajes », encontrarás alertas.;Em “Mensagens”, encontrarás alertas.;In “Messaggi”, troverai avvisi.;
popup.tuto.gestion.l3;pour piloter ton équipe au quotidien.;to help you run your team day to day.;para dirigir tu equipo en el día a día.;para gerir a tua equipa no dia a dia.;per gestire la tua squadra ogni giorno.;
popup.tuto.gestion.l4;Reviens régulièrement pour gérer ton Club le mieux possible.;Come back regularly to manage your club as best as possible.;Vuelve con frecuencia para gestionar tu club lo mejor posible.;Volta regularmente para gerir o teu clube da melhor forma.;Torna spesso per gestire al meglio il tuo club.;
popup.tuto.saison.title;Menu Saison;Season Menu;Menú de Temporada;Menu da Temporada;Menu Stagione;
popup.tuto.saison.l1;Suis et lance les matchs officiels : matchs de saison et tournois.;Follow and start official games: league games and tournaments.;Sigue y lanza los partidos oficiales: liga y torneos.;Acompanha e lança os jogos oficiais: liga e torneios.;Segui e avvia le partite ufficiali: campionato e tornei.;
popup.tuto.saison.l2;Prépare à l'avance ton équipe (la compo) et ton Stade (billetterie, boutique...).;Prepare your team (lineup) and stadium (tickets, shop…) in advance.;Prepara tu equipo (alineación) y tu estadio (entradas, tienda…) con antelación.;Prepara a tua equipa (onze) e o estádio (bilhetes, loja…) com antecedência.;Prepara in anticipo la squadra (formazione) e lo stadio (biglietti, negozio…).;
popup.tuto.saison.l3;Lance le match de saison manuellement à partir de 60 min avant le coup d'envoi.;Start the league game manually from 60 minutes before tip-off.;Inicia el partido de liga manualmente desde 60 min antes del inicio.;Inicia o jogo da liga manualmente a partir de 60 min antes do início.;Avvia la partita di campionato manualmente da 60 min prima della palla a due.;
popup.tuto.saison.l4;À l'heure H, le match se jouera automatiquement avec les conditions que tu;At kick-off time, the game will play automatically with the settings you;;A la hora H, el partido se jugará automáticamente con las condiciones que hayas;À hora H, o jogo será jogado automaticamente com as condições que tu;All’ora H, la partita si giocherà automaticamente con le condizioni che tu
popup.tuto.saison.l5;auras préparé en amont. Reste attentif au prochain match !;prepared beforehand. Stay alert for the next match!;preparado antes. ¡Mantente atento al próximo partido!;preparaste antes. Fica atento ao próximo jogo!;hai preparato prima. Resta attento alla prossima partita!;
popup.tuto.lv4_rename.title;Lv4+ : renom des joueurs débloqué !;Lv4+: Player renaming unlocked!;Nv4+: ¡Renombrar jugadores desbloqueado!;Nível 4+: Renomear jogadores desbloqueado!;Livello 4+: Rinomina giocatori sbloccata!;
popup.tuto.lv4_rename.l1;À partir du niveau 4, tu peux personnaliser le prénom de tes joueurs.;From level 4, you can customize your players’ first names.;A partir del nivel 4, puedes personalizar el nombre de tus jugadores.;A partir do nível 4, podes personalizar o primeiro nome dos teus jogadores.;Dal livello 4, puoi personalizzare il nome dei tuoi giocatori.;
popup.tuto.lv4_rename.l2;Dans l'écran Fiches joueurs (Equipe), clic sur le prénom en orange, remplace le;In the Player Cards screen (Team), click the orange first name and replace it.;En la pantalla de Fichas de jugadores (Equipo), haz clic en el nombre en naranja y cámbialo.;No ecrã Fichas de jogadores (Equipa), clica no nome a laranja e substitui-o.;Nella schermata Schede giocatori (Squadra), clicca sul nome in arancione e sostituiscilo.;
popup.tuto.lv4_rename.l3;prénom puis valide avec Intro.;then confirm with Enter.;luego valida con Enter.;depois valida com Enter.;poi conferma con Invio.;
popup.tuto.lv4_rename.l4;Amuse-toi à construire ton propre roster !;Have fun building your own roster!;¡Diviértete creando tu propia plantilla!;Diverte-te a construir o teu próprio plantel!;Divertiti a costruire il tuo roster!;
popup.tuto.bienvenue.title;Bienvenue au club !;Welcome to the club!;¡Bienvenido al club!;Bem-vindo ao clube!;Benvenuto nel club!;
popup.tuto.bienvenue.l1;Tu viens de prendre les commandes de l'équipe.;You’ve just taken charge of the team.;Acabas de tomar el control del equipo.;Acabas de assumir o comando da equipe.;Hai appena preso le redini della squadra.;
popup.tuto.bienvenue.l2;Ton objectif : faire progresser le club sur plusieurs saisons;Your goal: grow the club over multiple seasons;Tu objetivo: hacer crecer el club durante varias temporadas;O teu objetivo: fazer o clube evoluir ao longo de várias temporadas;Il tuo obiettivo: far crescere il club per più stagioni;
popup.tuto.bienvenue.l3;en gérant résultats sportifs, finances et infrastructures.;by managing results, finances, and facilities.;gestionando resultados, finanzas e infraestructuras.;gerindo resultados, finanças e infraestruturas.;gestendo risultati, finanze e infrastrutture.;
popup.tuto.bienvenue.l4;Bonne chance !;Good luck!;¡Buena suerte!;Boa sorte!;Buona fortuna!;
popup.tuto.gestion.title;Centre de Gestion;Management Center;Centro de Gestión;Centro de Gestão;Centro di Gestione;
popup.tuto.gestion.l1;Gère le sportif, les finances, le staff et les infrastructures.;Manage sports, finances, staff, and facilities.;Gestiona lo deportivo, las finanzas, el personal y las infraestructuras.;Gere o desportivo, as finanças, o staff e as infraestruturas.;Gestisci sport, finanze, staff e infrastrutture.;
popup.tuto.gestion.l2;Dans « Messages », tu trouveras des alertes;In “Messages”, you’ll find alerts;En « Mensajes », encontrarás avisos;Em « Mensagens », encontrarás alertas;In « Messaggi », troverai avvisi;
popup.tuto.gestion.l3;pour piloter ton équipe au quotidien.;to steer your team day to day.;para dirigir tu equipo en el día a día.;para orientar a tua equipa no dia a dia.;per guidare la tua squadra ogni giorno.;
popup.tuto.gestion.l4;Reviens régulièrement pour gérer ton Club le mieux possible.;Come back regularly to manage your club at its best.;Vuelve a menudo para gestionar tu club lo mejor posible.;Volta regularmente para gerir o teu clube da melhor forma.;Torna spesso per gestire al meglio il tuo club.;
popup.tuto.saison.title;Menu Saison;Season Menu;Menú de Temporada;Menu da Temporada;Menu Stagione;
popup.tuto.saison.l1;Suis et lance les matchs officiels : matchs de saison et tournois.;Track and start official games: season games and tournaments.;Sigue y lanza los partidos oficiales: liga y torneos.;Acompanha e inicia os jogos oficiais: temporada e torneios.;Segui e avvia le partite ufficiali: stagione e tornei.;
popup.tuto.saison.l2;Prépare à l'avance ton équipe (la compo) et ton Stade (billetterie, boutique...);Prepare your team (lineup) and your arena (tickets, shop...) ahead of time.;Prepara con antelación tu equipo (alineación) y tu estadio (entradas, tienda...).;Prepara com antecedência a tua equipa (formação) e o teu estádio (bilhetes, loja...).;Prepara in anticipo la tua squadra (formazione) e il tuo stadio (biglietti, negozio...).;
popup.tuto.saison.l3;Lance le match de saison manuellement à partir de 60 min avant le coup d'envoi.;Start the season match manually from 60 minutes before tip-off.;Inicia el partido de liga manualmente desde 60 min antes del salto inicial.;Inicia o jogo de temporada manualmente a partir de 60 min antes do início.;Avvia la partita di stagione manualmente da 60 minuti prima della palla a due.;
popup.tuto.saison.l4;À l'heure H, le match se jouera automatiquement avec les conditions que tu;At kick-off time, the match will be played automatically with the settings you;A la hora H, el partido se jugará automáticamente con las condiciones que;Na hora H, o jogo será disputado automaticamente com as condições que;All’ora H, la partita si giocherà automaticamente con le condizioni che;
popup.tuto.saison.l5;auras préparé en amont. Reste attentif au prochain match !;set up beforehand. Keep an eye on the next match!;hayas preparado antes. ¡Mantente atento al próximo partido!;preparaste antes. Fica atento ao próximo jogo!;hai preparato prima. Tieni d’occhio la prossima partita!;
popup.tuto.lv4_rename.title;Lv4+ : Renom des joueurs débloqué !;Lv4+: Player renaming unlocked!;Lv4+: ¡Renombrar jugadores desbloqueado!;Lv4+: Renomear jogadores desbloqueado!;Lv4+: Rinomina giocatori sbloccata!;
popup.tuto.lv4_rename.l1;À partir du niveau 4, tu peux personnaliser le prénom de tes joueurs.;From level 4, you can customize your players’ first names.;A partir del nivel 4, puedes personalizar el nombre de tus jugadores.;A partir do nível 4, podes personalizar o nome dos teus jogadores.;Dal livello 4, puoi personalizzare il nome dei tuoi giocatori.;
popup.tuto.lv4_rename.l2;Dans l'écran Fiches joueurs (Equipe), clic sur le prénom en orange, remplace le;In the Player Cards screen (Team), click the orange first name and replace it.;En la pantalla Fichas de jugadores (Equipo), haz clic en el nombre en naranja y cámbialo.;No ecrã Fichas de Jogadores (Equipa), clica no nome a laranja e substitui-o.;Nella schermata Schede Giocatore (Squadra), clicca sul nome arancione e sostituiscilo.;
popup.tuto.lv4_rename.l3;prénom puis valide avec Intro.;then confirm with Enter.;y confirma con Intro/Enter.;e confirma com Enter.;poi conferma con Invio.;
popup.tuto.lv4_rename.l4;Amuse-toi à construire ton propre roster !;Have fun building your own roster!;¡Diviértete creando tu propio roster!;Divirte-te a montar o teu próprio plantel!;Divertiti a costruire il tuo roster!;
tournoi.final_panel.title;Finale à venir;Final upcoming;Final por jugar;Final a caminho;Finale in arrivo;
tournoi.final_panel.subtitle;Retrouve les finalistes ci-dessous;See the finalists below;Mira a los finalistas abajo;Vê os finalistas abaixo;Vedi i finalisti qui sotto;
tournoi.final_panel.footer;Clique sur « Lancer ce tour » pour jouer la finale;Click “Play this round” to play the final;Haz clic en « Jugar esta ronda » para jugar la final;Clica em « Jogar esta ronda » para jogar a final;Clicca su « Gioca questo turno » per giocare la finale;
tournoi.final_panel.title;Qualifiée pour la finale !;Qualified for the final!;¡Clasificada para la final!;Qualificada para a final!;Qualificata per la finale!;
tournoi.final_panel.title;Qualifié pour la finale !;Qualified for the final!;¡Clasificada para la final!;Qualificada para a final!;Qualificata per la finale!;
popup.tournoi.qualif_finale.title;Qualifiée pour la finale !;Qualified for the final!;¡Clasificado para la final!;Qualificado para a final!;Qualificato per la finale!;
popup.tournoi.qualif_finale.l1;Bravo ! Ton club vient de gagner sa demi-finale.;Congrats! Your club just won its semi-final.;¡Enhorabuena! Tu club acaba de ganar su semifinal.;Parabéns! O teu clube acabou de ganhar a meia-final.;Complimenti! Il tuo club ha appena vinto la semifinale.;
popup.tournoi.qualif_finale.l2;Prépare-toi : la finale est maintenant disponible.;Get ready: the final is now available.;Prepárate: la final ya está disponible.;Prepara-te: a final já está disponível.;Preparati: la finale è ora disponibile.;
gestion.zone.staff;Staff;Staff;Staff;Staff;Staff;
gestion.zone.trophees;Trophées;Trophies;Trofeos;Troféus;Trofei;
staff.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
staff.button.contract_running;Contrat en cours;Contract active;Contrato en curso;Contrato em curso;Contratto in corso;
staff.service.physio_long;Kinésithérapeute;Physiotherapist;Fisioterapeuta;Fisioterapeuta;Fisioterapista;
leaderboard.tab.titles_total;Titres;Titles;Títulos;Títulos;Titoli;
leaderboard.tab.club_level;Niveau;Level;Nivel;Nível;Livello;
leaderboard.button.refresh;Actualiser;Refresh;Actualizar;Atualizar;Aggiorna;
leaderboard.title;Classements (online);Leaderboards (online);Clasificaciones (online);Classificações (online);Classifiche (online);
leaderboard.search.placeholder;Recherche Club ou Pseudo...;Search Club or Username...;Buscar club o usuario...;Procurar clube ou utilizador...;Cerca club o utente...;
popup.auto_matches.title;Matchs auto joués;Auto-played matches;Partidos auto-simulados;Partidas simuladas automaticamente;Partite simulate automaticamente;
popup.matchs_auto.title.one;Match auto joué pendant ton absence;Auto match played while you were away;Partido automático jugado durante tu ausencia;Jogo automático jogado durante a tua ausência;Partita automatica giocata durante la tua assenza;
popup.matchs_auto.title.many;Matchs auto joués pendant ton absence;Auto matches played while you were away;Partidos automáticos jugados durante tu ausencia;Jogos automáticos jogados durante a tua ausência;Partite automatiche giocate durante la tua assenza;
popup.matchs_auto.l1.one;{NB} match de saison a été simulé automatiquement.;{NB} league match was simulated automatically.;{NB} partido de liga se simuló automáticamente.;{NB} jogo da liga foi simulado automaticamente.;{NB} partita di campionato è stata simulata automaticamente.;
popup.matchs_auto.l1.many;{NB} matchs de saison ont été simulés automatiquement.;{NB} league matches were simulated automatically.;{NB} partidos de liga se simularon automáticamente.;{NB} jogos da liga foram simulados automaticamente.;{NB} partite di campionato sono state simulate automaticamente.;
popup.matchs_auto.l2;Les résultats sont à jour dans Calendrier, Classement et Finances.;Results are up to date in Schedule, Standings and Finances.;Los resultados están actualizados en Calendario, Clasificación y Finanzas.;Os resultados estão atualizados em Calendário, Classificação e Finanças.;I risultati sono aggiornati in Calendario, Classifica e Finanze.;
popup.matchs_auto.hint;Clic pour fermer.;Click to close.;Haz clic para cerrar.;Clica para fechar.;Clicca per chiudere.;
screen.choose_player.title;Choisir un joueur;Choose a player;Elegir un jugador;Escolher um jogador;Scegli un giocatore;
common.button.back;Retour;Back;Volver;Voltar;Indietro;
common.button.confirm;Confirmer;Confirm;Confirmar;Confirmar;Conferma;
gestion.button.leaderboard;Classements;Rankings;Clasif.;Classif.;Classifica;
gestion.button.settings;Réglages;Settings;Ajustes;Opções;Opzioni;
settings.title;Réglages;Settings;Ajustes;Opções;Opzioni;
settings.todo;À venir (compte, cloud, langue, etc.);Coming soon (account, cloud, language, etc.);Próximamente (cuenta, nube, idioma, etc.);Em breve (conta, cloud, idioma, etc.);In arrivo (account, cloud, lingua, ecc.);
common.button.back;Retour;Back;Volver;Voltar;Indietro;
settings.online.profile_uuid_label;Profile UUID;Profile UUID;UUID de perfil;UUID do perfil;UUID profilo;
settings.online.status_label;Statut;Status;Estado;Status;Stato;
settings.online.api_base_label;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;
settings.online.copy_id;Copier ID;Copy ID;Copiar ID;Copiar ID;Copia ID;
settings.online.copied_toast;ID copié;ID copied;ID copiado;ID copiado;ID copiato;
settings.online.copy_failed;Copie impossible;Copy failed;Copia imposible;Cópia falhou;Copia non riuscita;
settings.online.status.connected;Connecté;Connected;Conectado;Conectado;Connesso;
settings.online.status.disconnected;Non connecté;Disconnected;No conectado;Não conectado;Non connesso;
settings.online.status.disabled;Désactivé;Disabled;Desactivado;Desativado;Disattivato;
settings.menu.online;Online;Online;Online;Online;Online;
settings.menu.languages;Langues;Languages;Idiomas;Idiomas;Lingue;
settings.menu.audio;Audio;Audio;Audio;Áudio;Audio;
settings.menu.display;Affichage;Display;Pantalla;Ecrã;Schermo;
settings.menu.gameplay;Gameplay;Gameplay;Jugabilidad;Jogabilidade;Gameplay;
settings.menu.save;Sauvegarde;Save;Guardar;Guardar;Salva;
settings.menu.about;À propos;About;Acerca de;Sobre;Info;
settings.online.profile_uuid_label;Profile UUID;Profile UUID;UUID de perfil;UUID do perfil;UUID profilo;
settings.online.status_label;Statut;Status;Estado;Status;Stato;
settings.online.api_base_label;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;
settings.online.copy_id;Copier ID;Copy ID;Copiar ID;Copiar ID;Copia ID;
settings.online.copied_toast;ID copié;ID copied;ID copiado;ID copiado;ID copiato;
settings.online.copy_failed;Copie impossible;Copy failed;Copia imposible;Cópia falhou;Copia non riuscita;
settings.online.status.connected;Connecté;Connected;Conectado;Conectado;Connesso;
settings.online.status.disconnected;Non connecté;Disconnected;No conectado;Não conectado;Non connesso;
settings.online.status.disabled;Désactivé;Disabled;Desactivado;Desativado;Disattivato;
settings.title;Réglages;Settings;Ajustes;Definições;Impostazioni;
settings.todo;À venir (détails bientôt);Coming soon (details soon);Próximamente (detalles pronto);Em breve (detalhes em breve);Prossimamente (dettagli presto);
settings.menu.online;Online;Online;Online;Online;Online;
settings.menu.languages;Langues;Languages;Idiomas;Idiomas;Lingue;
settings.menu.audio;Audio;Audio;Audio;Áudio;Audio;
settings.menu.display;Affichage;Display;Pantalla;Ecrã;Schermo;
settings.menu.gameplay;Gameplay;Gameplay;Jugabilidad;Jogabilidade;Gameplay;
settings.menu.save;Sauvegarde;Save;Guardado;Gravação;Salvataggio;
settings.menu.about;À propos;About;Acerca de;Sobre;Info;
settings.online.profile_uuid_label;Profile UUID;Profile UUID;UUID de perfil;UUID do perfil;UUID profilo;
settings.online.status_label;Statut;Status;Estado;Estado;Stato;
settings.online.api_base_label;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;API_BASE_URL;
settings.online.copy_id;Copier ID;Copy ID;Copiar ID;Copiar ID;Copia ID;
settings.online.copied_toast;ID copié;ID copied;ID copiado;ID copiado;ID copiato;
settings.online.copy_failed;Copie impossible;Copy failed;Copia imposible;Cópia falhou;Copia non riuscita;
